"id_cliente","valor","nome_loja"
"63","3.0","145"
"37","2.0","130"
"41","1.0","130"
"56","1.0","120"
"57","0.0","120"
"57","0.0","140"
"56","1.0","140"
"44","1.0","120"
"52","2.0","172"
"57","2.0","150"
"54","0.0","140"
"48","2.0","130"
"49","1.0","130"
"64","3.0","110"
"58","3.0","150"
"50","2.0","120"
"58","2.0","120"
"66","3.0","150"
"43","0.0","150"
"69","3.0","140"
"59","0.0","135"
"44","2.0","130"
"42","0.0","140"
"61","2.0","150"
"40","3.0","140"
"71","1.0","160"
"59","2.0","150"
"51","2.0","110"
"65","2.0","140"
"53","2.0","130"
"41","1.0","105"
"65","0.0","120"
"44","1.0","130"
"54","2.0","125"
"51","3.0","125"
"46","2.0","142"
"54","2.0","135"
"54","2.0","150"
"65","2.0","155"
"65","2.0","160"
"51","2.0","140"
"48","1.0","130"
"45","0.0","104"
"53","0.0","130"
"39","2.0","140"
"52","1.0","120"
"44","2.0","140"
"47","2.0","138"
"53","2.0","128"
"53","0.0","138"
"51","2.0","130"
"66","0.0","120"
"62","2.0","130"
"44","2.0","108"
"63","2.0","135"
"52","1.0","134"
"48","0.0","122"
"45","0.0","115"
"34","3.0","118"
"57","0.0","128"
"71","2.0","110"
"54","1.0","108"
"52","3.0","118"
"41","1.0","135"
"58","2.0","140"
"35","0.0","138"
"51","2.0","100"
"45","1.0","130"
"44","1.0","120"
"62","0.0","124"
"54","2.0","120"
"51","2.0","94"
"29","1.0","130"
"51","0.0","140"
"43","2.0","122"
"55","1.0","135"
"51","2.0","125"
"59","1.0","140"
"52","1.0","128"
"58","2.0","105"
"41","2.0","112"
"45","1.0","128"
"60","2.0","102"
"52","3.0","152"
"42","0.0","102"
"67","2.0","115"
"68","2.0","118"
"46","1.0","101"
"54","2.0","110"
"58","0.0","100"
"48","2.0","124"
"57","0.0","132"
"52","2.0","138"
"54","1.0","132"
"45","1.0","112"
"53","0.0","142"
"62","0.0","140"
"52","0.0","108"
"43","2.0","130"
"53","2.0","130"
"42","3.0","148"
"59","3.0","178"
"63","1.0","140"
"42","2.0","120"
"50","2.0","129"
"68","2.0","120"
"69","3.0","160"
"45","0.0","138"
"50","1.0","120"
"50","0.0","110"
"64","0.0","180"
"57","2.0","150"
"64","2.0","140"
"43","0.0","110"
"55","1.0","130"
"37","2.0","120"
"41","2.0","130"
"56","3.0","120"
"46","1.0","105"
"46","0.0","138"
"64","0.0","130"
"59","0.0","138"
"41","2.0","112"
"54","2.0","108"
"39","2.0","94"
"34","1.0","118"
"47","0.0","112"
"67","2.0","152"
"52","2.0","136"
"74","1.0","120"
"54","2.0","160"
"49","1.0","134"
"42","1.0","120"
"41","1.0","110"
"41","1.0","126"
"49","0.0","130"
"60","2.0","120"
"62","1.0","128"
"57","0.0","110"
"64","0.0","128"
"51","2.0","120"
"43","0.0","115"
"42","2.0","120"
"67","0.0","106"
"76","2.0","140"
"70","1.0","156"
"44","2.0","118"
"60","3.0","150"
"44","2.0","120"
"42","2.0","130"
"66","0.0","160"
"71","0.0","112"
"64","3.0","170"
"66","2.0","146"
"39","2.0","138"
"58","0.0","130"
"47","2.0","130"
"35","1.0","122"
"58","1.0","125"
"56","1.0","130"
"56","1.0","120"
"55","1.0","132"
"41","1.0","120"
"38","2.0","138"
"38","2.0","138"
"67","0.0","160"
"67","0.0","120"
"62","0.0","140"
"63","0.0","130"
"53","0.0","140"
"56","2.0","130"
"48","1.0","110"
"58","1.0","120"
"58","2.0","132"
"60","0.0","130"
"40","0.0","110"
"60","0.0","117"
"64","2.0","140"
"43","0.0","120"
"57","0.0","150"
"55","0.0","132"
"65","0.0","150"
"61","0.0","130"
"58","2.0","112"
"50","0.0","150"
"44","0.0","112"
"60","0.0","130"
"54","0.0","124"
"50","2.0","140"
"41","0.0","110"
"51","0.0","130"
"58","0.0","128"
"54","0.0","120"
"60","0.0","145"
"60","2.0","140"
"59","0.0","170"
"46","2.0","150"
"67","0.0","125"
"62","0.0","120"
"65","0.0","110"
"44","0.0","110"
"60","0.0","125"
"58","0.0","150"
"68","2.0","180"
"62","0.0","160"
"52","0.0","128"
"59","0.0","110"
"60","0.0","150"
"49","2.0","120"
"59","0.0","140"
"57","2.0","128"
"61","0.0","120"
"39","0.0","118"
"61","0.0","145"
"56","0.0","125"
"43","0.0","132"
"62","2.0","130"
"63","0.0","130"
"65","0.0","135"
"48","0.0","130"
"63","0.0","150"
"55","0.0","140"
"65","3.0","138"
"56","0.0","200"
"54","0.0","110"
"70","0.0","145"
"62","1.0","120"
"35","0.0","120"
"59","3.0","170"
"64","2.0","125"
"47","2.0","108"
"57","0.0","165"
"55","0.0","160"
"64","0.0","120"
"70","0.0","130"
"51","0.0","140"
"58","0.0","125"
"60","0.0","140"
"77","0.0","125"
"35","0.0","126"
"70","2.0","160"
"59","0.0","174"
"64","0.0","145"
"57","0.0","152"
"56","0.0","132"
"48","0.0","124"
"56","0.0","134"
"66","1.0","160"
